文件名,名称,单位,描述,物品类型,种植/饲养后物品文件名,收获说明,所需房屋等级,所需碎玉,所需金钱(金)
plant/bairicaozi,百日草籽,颗,看起来长势不错，种在家园中，可以得到一棵百日草,home_infancy_plant,home/grown/plant/bairicao,可收获百日草，百日草籽,1,1,1000
plant/shuixiangenjing,水仙根茎,颗,看起来长势不错，种在家园中，可以得到一棵水仙,home_infancy_plant,home/grown/plant/shuixian,可收获水仙，水仙根茎,1,1,1000
plant/jinqiancaozi,金钱草籽,颗,看起来长势不错，种在家园中，可以得到一棵金钱草,home_infancy_plant,home/grown/plant/jinqiancao,可收获金钱草，金钱草籽,1,1,1000
plant/xianhecaozi,仙鹤草籽,颗,看起来长势不错，种在家园中，可以得到一棵仙鹤草,home_infancy_plant,home/grown/plant/xianhecao,可收获仙鹤草，仙鹤草籽,1,1,1000
plant/tianerongcaozi,天鹅绒草籽,颗,看起来长势不错，种在家园中，可以得到一棵天鹅绒草,home_infancy_plant,home/grown/plant/tianerongcao,可收获天鹅绒草，天鹅绒草籽,1,1,1000
plant/mujinhuazi,木槿花籽,颗,看起来长势不错，种在家园中，可以得到一棵木槿花,home_infancy_plant,home/grown/plant/mujinhua,可收获木槿花，木槿花籽,1,1,1000
plant/dazicaozi,大紫草籽,颗,看起来长势不错，种在家园中，可以得到一棵大紫草,home_infancy_plant,home/grown/plant/dazicao,可收获大紫草，大紫草籽,1,1,1000
animal/shiroushouyouzai,食肉兽幼仔,只,这家伙真漂亮，一定能长成一只大食肉兽,home_infancy_animal,home/grown/animal/shiroushou,可得到食肉兽幼仔，软兽皮，兽甲皮,2,110,110000
animal/caihuyouzai,彩狐幼仔,只,这家伙真漂亮，一定能长成一只大彩狐,home_infancy_animal,home/grown/animal/caihu,可得到彩狐幼仔，绒毛皮，银毛皮,3,120,120000
animal/shuzhushouyouzai,束柱兽幼仔,只,这家伙真漂亮，一定能长成一只大束柱兽,home_infancy_animal,home/grown/animal/shuzhushou,可得到束柱兽幼仔，硬甲皮，兽鳞皮,3,130,130000
animal/kongchixiaoxiang,恐齿小象,只,这家伙真漂亮，一定能长成一只大恐齿象,home_infancy_animal,home/grown/animal/kongchixiang,可得到食肉兽幼仔，软兽皮，兽甲皮,4,140,140000
animal/jingbeixiyidan,晶背蜥蜴蛋,只,这家伙真漂亮，一定能长成一只大晶背蜥蜴,home_infancy_animal,home/grown/animal/jingbeixiyi,可得到彩狐幼仔，绒毛皮，银毛皮,5,150,150000
animal/jianchishouyouzai,箭齿兽幼仔,只,这家伙真漂亮，一定能长成一只大箭齿兽,home_infancy_animal,home/grown/animal/jianchishou,可得到束柱兽幼仔，硬甲皮，兽鳞皮,6,160,160000
animal/huwangyouzai,虎王幼仔,只,这家伙真漂亮，一定能长成一只虎王,home_infancy_animal,home/grown/animal/huwang,可得到虎王幼仔，金丝绸缎，兽王鳞,5,150,150000
animal/tiejialongyouzai,铁甲龙幼仔,只,这家伙真漂亮，一定能长成一只大铁甲龙,home_infancy_animal,home/grown/animal/tiejialong,可得到铁甲龙幼仔，裂影皮，铁线沙,5,160,160000
