文件名,名称,单位,描述,物品类型,种植/饲养后物品文件名,收获说明,所需房屋等级,所需碎玉,所需金钱
plant/bairicaozi,百日草籽,颗,看起来长势不错，种在家园中，可以得到一棵百日草,home_infancy_plant,home/grown/plant/bairicao,可收获百日草，百日草籽,1,1,10
plant/shuixiangenjing,水仙根茎,颗,看起来长势不错，种在家园中，可以得到一棵水仙,home_infancy_plant,home/grown/plant/shuixian,可收获水仙，水仙根茎,1,1,10
plant/jinqiancaozi,金钱草籽,颗,看起来长势不错，种在家园中，可以得到一棵金钱草,home_infancy_plant,home/grown/plant/jinqiancao,可收获金钱草，金钱草籽,1,1,10
plant/xianhecaozi,仙鹤草籽,颗,看起来长势不错，种在家园中，可以得到一棵仙鹤草,home_infancy_plant,home/grown/plant/xianhecao,可收获仙鹤草，仙鹤草籽,1,1,10
plant/tianerongcaozi,天鹅绒草籽,颗,看起来长势不错，种在家园中，可以得到一棵天鹅绒草,home_infancy_plant,home/grown/plant/tianerongcao,可收获天鹅绒草，天鹅绒草籽,1,1,10
plant/mujinhuazi,木槿花籽,颗,看起来长势不错，种在家园中，可以得到一棵木槿花,home_infancy_plant,home/grown/plant/mujinhua,可收获木槿花，木槿花籽,1,1,10
plant/dazicaozi,大紫草籽,颗,看起来长势不错，种在家园中，可以得到一棵大紫草,home_infancy_plant,home/grown/plant/dazicao,可收获大紫草，大紫草籽,1,1,10
animal/shiroushouyouzai,食肉兽幼仔,只,这家伙真漂亮，一定能长成一只大食肉兽,home_infancy_animal,home/grown/animal/shiroushou,可得到食肉兽幼仔，软兽皮，兽甲皮,2,110,100
animal/caihuyouzai,彩狐幼仔,只,这家伙真漂亮，一定能长成一只大彩狐,home_infancy_animal,home/grown/animal/caihu,可得到彩狐幼仔，绒毛皮，银毛皮,3,120,100
animal/shuzhushouyouzai,束柱兽幼仔,只,这家伙真漂亮，一定能长成一只大束柱兽,home_infancy_animal,home/grown/animal/shuzhushou,可得到束柱兽幼仔，硬甲皮，兽鳞皮,3,130,100
animal/kongchixiaoxiang,恐齿小象,只,这家伙真漂亮，一定能长成一只大恐齿象,home_infancy_animal,home/grown/animal/kongchixiang,可得到食肉兽幼仔，软兽皮，兽甲皮,4,140,100
animal/jingbeixiyidan,晶背蜥蜴蛋,只,这家伙真漂亮，一定能长成一只大晶背蜥蜴,home_infancy_animal,home/grown/animal/jingbeixiyi,可得到彩狐幼仔，绒毛皮，银毛皮,5,150,100
animal/jianchishouyouzai,箭齿兽幼仔,只,这家伙真漂亮，一定能长成一只大箭齿兽,home_infancy_animal,home/grown/animal/jianchishou,可得到箭齿兽幼仔，硬甲皮，兽鳞皮,6,160,100
ore/tongkuangzhiyuan,铜矿之源,块,黄灿灿的一团，可以在你的家中汇聚出一处青铜矿,home_infancy_ore,home/grown/ore/qingtongkuang,可以得到铜矿之源、铁矿石、小石子、细沙,1,1,1
ore/xinkuangzhiyuan,锌矿之源,块,银灿灿的一团，可以在你的家中汇聚出一处晶锌矿,home_infancy_ore,home/grown/ore/jingxinkuang,可以得到锌矿之源，锌矿，小石子,2,5,5
ore/lvkuangzhiyuan,铝矿之源,块,银灿灿的一团，可以在你的家中汇聚出一处晶铝矿,home_infancy_ore,home/grown/ore/jinglvkuang,可得到铝矿之源，铝矿，小石子,3,10,10
ore/tiekuangzhiyuan,铁矿之源,块,黑漆漆的一团，可以在你的家中汇聚出一处晶铁矿,home_infancy_ore,home/grown/ore/jingtiekuang,可得到铁矿之源，铁矿，细沙,3,10,10
ore/yinkuangzhiyuan,银矿之源,块,银灿灿的一团，可以在你的家中汇聚出一处晶银矿,home_infancy_ore,home/grown/ore/jingyinkuang,可得到银矿之源，银矿，小石子,4,10,50
